Unnamed: 0.1,Unnamed: 0,Wavelength (nm),Sum,Intensity,Bi III (3.3e-02),Denoised,Normalized
207,207,211.18,13250000.0,13250000.0,,18788667.599067695,0.020608145159735542
208,208,211.2,7194000.0,7194000.0,,7894290.489510537,0.011541681136032942
209,209,211.22,3635000.0,3635000.0,,2437278.5128205344,0.007000273925135936
210,210,211.25,1141000.0,1141000.0,,-361216.06060605537,0.004671324769498485
211,211,211.28,304600.0,304600.0,,-512367.56736596563,0.004545534218612838
212,212,211.3,115500.0,115500.0,,-311726.3401398596,0.004712510857113925
213,213,211.32,40730.0,40730.0,3.033e-14,-328672.2992214457,0.004698408175811883
214,214,211.35,7458.0,7458.0,8.549e-13,-221476.870512821,0.004787617819292971
215,215,211.38,1162.0,1162.0,2.053e-11,-69192.60885501181,0.00491435106579363
216,216,211.4,307.4,307.4,1.563e-10,-17460.856612951084,0.004957403005878784
217,217,211.43,36.57,36.57,2.874e-09,-7816.372080081604,0.004965429290554365
218,218,211.45,8.086,8.086,1.831e-08,-3083.632400257351,0.004969367947497223
219,219,211.47,1.664,1.664,1.087e-07,-562.1016952281694,0.0049714664031676944
220,220,211.5,0.1358,0.1358,1.374e-06,-85.65413256850374,0.004971862909975068
221,221,211.53,0.009436,0.009421,1.481e-05,-23.902767678741416,0.004971914300387072
222,222,211.55,0.00152,0.001454,6.61e-05,-2.704477262389681,0.0049719319419222864
223,223,211.57,0.0004836,0.0002089,0.0002747,-0.627862833566249,0.004971933670111959
224,224,211.6,0.002046,9.944e-06,0.002036,-0.1355449898353617,0.004971934079826252
225,225,211.62,0.007084,1.194e-06,0.007083,-0.011019532334545487,0.004971934183458206
226,226,211.65,0.0402,4.339e-08,0.0402,-0.0008470195952680679,0.004971934191923925
373,373,222.15,6.188e-08,6.188e-08,,-0.0017343087503962757,0.004971934191185508
374,374,222.18,1.468e-06,1.468e-06,,-0.008587723809254103,0.004971934185481994
375,375,222.2,1.118e-05,1.118e-05,,-0.04273451908419592,0.004971934157064519
376,376,222.22,7.981e-05,7.981e-05,,-0.46655999153559574,0.004971933804350604
377,377,222.25,0.00135,0.00135,,-4.243998720170455,0.0049719306607094406
378,378,222.28,0.01974,0.01974,,-15.95126230817179,0.0049719209177490975
379,379,222.3,0.1089,0.1089,,-114.9957865514875,0.004971838491410559
380,380,222.32,0.5634,0.5634,,-365.437944112332,0.004971630069690923
381,381,222.35,5.875,5.875,,-1060.1192248558534,0.004971051945510305
382,382,222.38,52.99,52.99,,-5743.179474918431,0.004967154632533983
383,383,222.4,211.9,211.9,,-25592.240806387013,0.004950635945999059
384,384,222.43,1501.0,1501.0,,-54381.58843776235,0.004926677019119545
385,385,222.45,5106.0,5106.0,,-98598.61712680668,0.004889878944680524
386,386,222.47,16290.0,16290.0,,-322748.82981352037,0.004703337775892951
387,387,222.5,82270.0,82270.0,,-475220.4021911426,0.00457644864660199
388,388,222.53,359400.0,359400.0,,-1061357.961305362,0.0040886561790557715
389,389,222.55,885900.0,885900.0,,-1821083.8974358968,0.003456400860689868
390,390,222.57,2048000.0,2048000.0,,157125.58041959594,0.005102696457212815
391,391,222.6,6377000.0,6377000.0,,6211304.638694686,0.010141075069676323
392,392,222.62,12550000.0,12550000.0,,15954085.034965131,0.01824916303701231
393,393,222.65,30690000.0,30690000.0,,34120348.951049134,0.033367400324371764
394,394,222.68,64920000.0,64920000.0,,65717710.02331034,0.05966319810378627
395,395,222.7,98720000.0,98720000.0,,108845536.13053663,0.09555482181843142
396,396,222.72,140800000.0,140800000.0,,159468293.70629442,0.1376838399096624
